HpRegen,Regeneration,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0.4|0.8|1.3|1.9|2.6,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0
# ── 소환수 증가 · 텔레포트 · 보호막 (D113) ──────────────────────────────────
# 이 셋은 앞의 패시브들과 성격이 다르다. 앞엣것들은 "이미 있는 수치를 키운다"인데
# 이 셋은 **없던 동작을 켠다**. 그래서 값이 0 이면 기능 자체가 없다.
#
#   BonusSummonCount      : 소환 무기 **하나당** 몸통을 몇 마리 더 두는지 (덧셈 마릿수).
#                           🔴 무기 개수가 아니다 — 드래곤+문어를 들고 이 값이 1 이면 **넷**이 따라온다.
#                           🔴 소환 무기가 없으면 아무 일도 안 일어난다. 그래서 Lv1 부터 1 을 준다 —
#                              0 으로 시작하면 "먹었는데 아무 변화가 없는" 레벨이 생긴다.
#   BonusTeleportInterval : 자동 순간이동 주기(초). 🔴 **작을수록 좋다** — 다른 열과 방향이 반대다.
#                           거리는 여기가 아니라 PlayerTeleport 의 distance(5) 다.
#                           속도 4 기준 5유닛 = 약 1.25초를 버는 셈이다.
#   BonusShieldInterval   : 보호막 재생 주기(초). 🔴 **작을수록 좋다.**
#                           막는 건 **원거리 피격 한 번**이다 (접촉은 안 막는다 — 무적 픽업과 갈라야 한다).
#
# 🔴 이 두 "주기" 열은 StatBlock.Add 에서 **더해진다.** 지금은 쓰는 패시브가 각각 하나뿐이고
#    레벨 배열이 "그 레벨일 때의 총값"이라 덮어쓰기처럼 동작하지만,
#    **두 번째 출처가 생기면 합쳐서 오히려 느려진다.** 그때 규칙부터 다시 정할 것.
SummonCount,Summon Count,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,1|1|2|2|3,0|0|0|0|0,0|0|0|0|0
Teleport,Blink,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,9|8|7|6|5,0|0|0|0|0
Shield,Barrier,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,0|0|0|0|0,14|12|10|8|6
