# Weapons.csv — 무기 밸런스 원본. 배열 값은 | 로 구분하며 인덱스 = 레벨-1 (Lv1~Lv5).
# WeaponPrefab 은 WeaponBase 파생 컴포넌트를 가진 프리팹이다.
#   Weapon_Sword = ProjectileWeapon (투사체를 적 방향으로 발사, ProjectileCount 만큼 15도씩 부채꼴)
#   Weapon_Aoe   = AoeWeapon        (가장 가까운 적 위치에 폭발 생성. ProjectileCount 무시)
#   Weapon_Melee = MeleeWeapon      (발사체 없이 앞쪽 부채꼴을 직접 벤다. D10 신설)
#   Weapon_Field = FieldWeapon      (조준하지 않고 주변 무작위 좌표에 장판을 깐다. D11 신설)
# 🔴 Weapon_Melee 는 아래 4개 열의 뜻을 바꾼다 (열을 새로 만들지 않고 재해석한다):
#   Range            = 날아가는 거리가 아니라 "호의 바깥 반지름". Sword 가 10 -> 2 로 내려간 이유다.
#                      10 을 그대로 두면 화면 전체를 한 번에 베는 무기가 된다.
#   ProjectileCount  = 동시 발사 수가 아니라 "한 쿨다운에 몇 번 베는지"(연타)
#   ProjectilePrefab = 날아가는 발사체가 아니라 "휘두름 이펙트"(Fx_SwingArc)
#   ProjectileSpeed  = 안 쓴다 (0)
#   Mic 는 D112 에서 넣은 두 번째 MeleeWeapon 이다. 검과 **같은 코드**이고 프리팹 값만 다르다 —
#     halfAngle 70 -> 32 (앞쪽 140도 -> 64도). 그래서 열의 뜻도 검과 똑같이 재해석된다.
#     🔑 좁아진 만큼 Range 를 2.5 -> 5.6 까지 늘렸다. 이게 원뿔의 정체다 — **덜 맞히고 더 멀리.**
#     검 옆에 두고 읽을 것: 검은 둘러싸였을 때, 마이크는 한 방향에서 밀려올 때 값어치가 있다.
#     ProjectilePrefab 은 Fx_SoundCone — 🟡 Fx_SwingArc(검격) 그림에 보라 틴트만 입힌 **자리표시**다.
#     진짜 원뿔/음파 애니메이션은 CONTENT 요청-62 로 넘겼다.
# ProjectilePrefab 의 그림은 반드시 오른쪽(+X)을 향해야 한다 — ProjectileBase 가 진행 방향으로 회전시킨다.
#   Bow 는 C7 에서 Proj_Bullet(총알 아이콘) -> Proj_Arrow(화살) 로 갈았다. 수치는 안 건드렸다.
#   Sword 는 C12 에서 근접으로 갈았다 (D10 이 만든 MeleeWeapon). 🔴 Damage/Cooldown/Size/Count 는
#     일부러 예전 값 그대로 두었다 - 사거리만 바꾼 대조 실험이라야 "근접이 된 탓"을 가릴 수 있다.
#     올릴지 말지는 TUNING.md §3 에서 플레이하고 정한다. 감으로 여기 박아 넣지 말 것.
#   Shuriken 은 관통 3 (Proj_Shuriken.prefab 의 pierceCount). 그래서 ProjectileCount 를
#     일부러 낮게(1->2) 잡았다 - 관통 위에 부채꼴을 얹으면 한 발이 9번 맞는다.
#     폭은 Bow, 깊이는 Shuriken 이다.
# 🔴 Weapon_Field 는 아래 2개 열의 뜻을 바꾼다 (C15):
#   Range           = 사거리가 아니라 "장판이 떨어질 수 있는 반경"(플레이어 주변 무작위)
#   Damage          = 1히트 피해가 아니라 "틱당 피해". 장판 4초 x 0.5초 틱 = 한 번 깔면 최대 8틱.
#                     다른 무기의 Damage 와 나란히 읽으면 8배로 착각한다. 반드시 x8 해서 볼 것.
#   ProjectileSpeed = 안 쓴다 (0). TravelPrefab 도 비운다 — 장판은 날아가지 않는다.
# TravelPrefab 은 AoE 무기 전용 — 폭발(ProjectilePrefab) 전에 목표까지 날아가는 몸체다.
#   BombProjectile 컴포넌트가 있어야 하고, ProjectileSpeed(유닛/초) 가 0 보다 커야 날아간다.
#   비워 두면 목표 지점에서 곧바로 터진다.
#   Bomb 은 C15 에서 Proj_BombGround + 속도 9 로 갈았다 - 날아가 바닥에 떨어져 1.1초 뒤 터진다.
#   🔴 Damage 는 일부러 안 올렸다. 검(C12)과 같은 대조 실험이다 - 느려진 값만 재려면 하나만 움직인다.
Id,WeaponName,WeaponPrefab,Icon,ProjectilePrefab,TravelPrefab,ProjectileSpeed,Damage,Cooldown,ProjectileSize,ProjectileCount,Range
#   ProjectileSpeed = 유닛/초가 아니라 **회전 속도(도/초)**. 110 이면 한 바퀴 3.3초.
#   ProjectileSize  = 구체 그림 크기 **겸 판정 반지름**의 배수 (프리팹 hitRadius 0.42 에 곱해진다).
#   Cooldown        = 날리는 주기가 아니라 **같은 적을 다시 때리기까지의 간격**.
#                     🔴 늘 켜져 있는 무기라 이 값이 곧 DPS 다 — 0.5 면 초당 2회.
#   ProjectilePrefab= 발사체가 아니라 **구체 그림**(Proj_Orb · 콜라이더도 강체도 없다).
# 🔵 겨누지 않는 유일한 무기다. 그래서 파는 것은 피해가 아니라 **등 뒤가 안전해진다**는 것이다.
# 🔴 Weapon_Mine 은 아래 6개 열의 뜻을 바꾼다 (D119). 이 무기만 **겨누지 않고 발밑에 둔다.**
#   ProjectileCount = 동시 발사 수가 아니라 **한 번에 놓는 개수**
#   Range           = 사거리가 아니라 **밟았다고 볼 반경**(기폭). 0.7 이면 적이 그 안에 들어와야 터진다
#   ProjectileSize  = **폭발 반경**의 배수 (프리팹 explosionRadius 1.8 에 곱해진다)
#   ProjectileSpeed = 유닛/초가 아니라 **수명(초)**. 지나면 터지지 않고 조용히 사라진다
#   ProjectilePrefab= 발사체가 아니라 **지뢰 몸체**(MineBody)
#   TravelPrefab    = 🔑 **터질 때 쓸 폭발**(AoeProjectile). AoE 무기와 반대로 쓰인다 —
#                     저쪽은 "날아가는 몸체"이고 여기는 **지뢰가 몸체**다
# 🔑 폭탄과 갈리는 지점: 폭탄은 **가장 가까운 적을 노려 날리고**, 지뢰는 **지금 선 자리에 둔다.**
#    그래서 이 게임의 핵심 동사(도망)와 짝이 맞는다 — 도망친 거리만큼 피해가 된다.
# 🔴 Damage 를 폭탄보다 높게 잡은 이유: 적이 **제 발로 밟아야** 하고, 놓고 0.45초는 안 터진다.
#    폭탄(즉발)과 나란히 읽으면 세 보이지만 실제로 맞는 비율이 다르다.
# ── 소환수 (C19 · D13 이 만든 SummonWeapon) ─────────────────────────────────
# 🔴 소환수는 판정 기준점이 플레이어가 아니라 "몸통"이다. 몸통은 플레이어에게서
#    offsetDistance(1.2) 만큼 떨어져 따라다닌다 — 아래 Range 는 전부 **몸통 기준**이다.
# 🔴 몸통 프리팹(Summon_Dragon · Summon_Octopus)은 이 표에 없다. 무기 프리팹의
#    bodyPrefab 필드에 물려 있다. followLerp · offsetAngle · frameRate 도 전부 프리팹이다.
# 소환 "수" 열은 없다. 소환수는 무기 슬롯 하나를 먹는 무기이고, 몇 마리를 두는지는
#   직업의 무기 슬롯 수가 정한다 (사용자 지시, DESIGN_CLASSES.md §5-A).
#
# SummonDragon = mode Ranged. 열 뜻이 Fireball(AoE)과 같다.
#   Range           = 날아가는 거리가 아니라 "몸통이 적을 찾는 반경". 7~9 로 잡았다 —
#                     Fireball(12~14)보다 좁다. 넓히면 화면 끝 적을 저격하는 포대가 되어
#                     "곁에 있는 동료"라는 정체성이 사라진다. 화면 세로 절반이 6 이다.
#   ProjectileSize  = explosionRadius(프리팹 2) 에 곱해지는 값. 0.7 -> 1.0 = 폭발 1.4 -> 2.0 유닛.
#                     🔴 1 을 넘기지 않았다. 사용자 지시가 "**소규모** 폭발" 이다.
#   Fireball 대비 피해 절반 · 쿨 60% 로 잡았다 = 잘게 계속 때리는 결. Lv5 단일 DPS 42.5
#     (Fireball 56.7 의 75%). 같은 화염구를 쏘지만 무거운 한 방이 아니라 잔불이다.
#
# SummonOctopus = mode Ring. 부채꼴이 아니라 **360° 링**이라 등 뒤 적도 맞는다 (D13 판정 ⑧).
#   Range           = 링의 반지름 = 촉수 이펙트의 바깥 끝. 둘이 같은 값이다.
#                     🔴 여기서 줄이지 않았다. D12 가 반대를 증명했다 — 최근접 적이 4.67 유닛,
#                     검(2.5)은 6초간 0회 휘둘렀다. **이 게임에서 2.5 는 크지 않다.**
#                     "이펙트가 문어를 덮는다"(D13 ⑥-3)는 크기가 아니라 그림 문제였고
#                     C19 에서 촉수 가운데를 비워 고쳤다 (Tools/Art/gen_octopus.py 참조).
#   ProjectileSize  = 🔴 Ring 모드는 이 열을 **안 쓴다** (SummonWeapon.SpawnLash 가 Range 만 넘긴다).
#                     1 로 고정. 여기를 만져도 아무 일도 안 일어난다.
#   ProjectileSpeed / TravelPrefab = 안 쓴다 (0 / 비움). 촉수는 날아가지 않는다.
#   한 번에 여럿을 때리는 대신 대상당 피해는 낮다. Lv5 대상당 32.5 DPS —
#     D13 실측 후리기당 3.1마리를 곱하면 약 100 DPS. 독 장판(대상당 49)보다 얕고 넓다.
SummonDragon,Dragon,Assets/Prefabs/Weapon_SummonDragon.prefab,Assets/Game/Sprites/Weapons/Dragon.png,Assets/Prefabs/Proj_Aoe(Boom).prefab,Assets/Prefabs/Proj_Fireball.prefab,11,9|13|18|25|34,1.4|1.25|1.1|0.95|0.8,0.7|0.75|0.8|0.9|1,1|1|1|1|1,7|7|8|8|9
SummonOctopus,Octopus,Assets/Prefabs/Weapon_SummonOctopus.prefab,Assets/Game/Sprites/Weapons/Octopus.png,Assets/Prefabs/Fx_TentacleLash.prefab,,0,7|10|14|19|26,1.2|1.1|1|0.9|0.8,1|1|1|1|1,1|1|1|1|1,1.8|2|2.2|2.4|2.6
# ── 진화 무기 (Evolutions.csv 의 결과물) ────────────────────────────────────
# 레벨이 없다. 배열은 값 1개 = Lv1 뿐이고 Items.csv 의 MaxLevel 도 1 이다.
# 수치는 재료 무기의 Lv5 대비 약 1.7배를 기준으로 잡은 자리표시 값이다 (근거는 BALANCE.md).
# 전용 아이콘은 I-57 에 이미 들어와 있었는데 이 열이 재료 무기 것을 계속 가리키고 있었다.
# C6 에서 배선했다 — 그림이 있는데 안 쓰이고 있던 것뿐이라 수치는 건드리지 않았다.
# 🔴 Kunai 는 다른 진화와 달리 위의 1.7배 규칙을 **그대로 쓰면 안 된다** (D112).
#    3회 튕김 x 감쇠 0.85 라 한 발이 최대 4마리에게 1+0.85+0.72+0.61 = 3.18배로 들어간다.
#    그래서 단일 대상 DPS(=Damage/Cooldown, 부채꼴은 한 적에게 한 발만 맞으므로)로 맞췄다:
#      Kunai 136 · Excalibur 127 · Windforce 137 · Devastator 227. 무리 상대로만 3배가 된다.
#    bounceCount(3) · searchRadius(6) · damageFalloff(0.85) 은 이 표가 아니라
#    Proj_Kunai.prefab 의 BouncingProjectile 에 있다. 여기서 만져도 안 바뀐다.
#    Perk 는 D114 에서 ExtraPierce 로 채웠다 — 쿠나이의 정체("첫 적에서 멈추지 않는다")를
#    런 전체로 옮긴 것이다. 직선 발사체는 하나 더 뚫고, 쿠나이 자신은 한 번 더 튕긴다.
Excalibur,Excalibur,Assets/Prefabs/Weapon_Sword.prefab,Assets/Game/Sprites/Weapons/Excalibur.png,Assets/Prefabs/Proj_Bullet.prefab,,10,70,0.55,2,5,16
Windforce,Windforce,Assets/Prefabs/Weapon_Sword.prefab,Assets/Game/Sprites/Weapons/Windforce.png,Assets/Prefabs/Proj_Bullet.prefab,,16,55,0.4,1.4,6,20
Devastator,Devastator,Assets/Prefabs/Weapon_Sword.prefab,Assets/Game/Sprites/Weapons/Devastator.png,Assets/Prefabs/Proj_Bullet.prefab,,20,34,0.15,1.2,4,17
Kunai,Kunai,Assets/Prefabs/Weapon_Sword.prefab,Assets/Game/Sprites/Weapons/Kunai.png,Assets/Prefabs/Proj_Kunai.prefab,,18,30,0.22,1.1,2,18
